name,league,games,goals,assists,shots,shotsOnGoal
Salah,EPL,26,17,6,88,45
Aguero,EPL,23,17,6,86,32
Aubameyang,EPL,25,15,3,63,27
Kane,EPL,22,14,4,79,41
Hazard,EPL,25,12,10,67,31
Mane,EPL,24,12,1,57,30
Sterling,EPL,24,12,8,47,25
Pogba,EPL,23,11,8,76,40
Son,EPL,20,11,5,53,23
Murray,EPL,26,10,0,36,18
Wilson,EPL,21,10,5,47,18
Lacazette,EPL,25,10,5,50,22
Richarlison,EPL,25,10,1,53,20
Mitrovic,EPL,26,10,2,91,36
Sigurdsson,EPL,27,9,3,61,21
Firmino,EPL,26,9,5,55,29
Martial,EPL,20,9,2,30,17
Rashford,EPL,22,9,5,55,29
Jimenez,EPL,26,9,5,82,31
King,EPL,23,8,3,45,17